Time,beam,clearsky,tdry,wspd,solzen,solaz,pricing_mult,sf_adjust_out,q_sf_inc,eta_field,defocus,q_dot_rec_inc,Q_thermal,m_dot_rec,q_startup,q_piping_losses,q_thermal_loss,eta_therm,T_rec_in,T_rec_out,T_panel_out,T_tes_hot,T_tes_cold,mass_tes_cold,mass_tes_hot,q_dc_tes,q_ch_tes,e_ch_tes,tank_losses,hot_tank_htf_percent_final,m_dot_cr_to_tes_hot,m_dot_tes_hot_out,m_dot_pc_to_tes_cold,m_dot_tes_cold_out,m_dot_field_to_cycle,m_dot_cycle_to_field,P_cycle,eta,T_pc_in,T_pc_out,q_pb,q_dot_pc_startup,P_out_net,P_tower_pump,htf_pump_power,P_cooling_tower_tot,P_fixed,P_plant_balance_tot,P_rec_heattrace,q_heater,P_cycle_off_heat,pparasi,is_rec_su_allowed,is_pc_su_allowed,is_pc_sb_allowed,op_mode_1,op_mode_2,op_mode_3,q_dot_est_cr_on,q_dot_est_cr_su,q_dot_est_tes_dc,q_dot_est_tes_ch,q_dot_pc_target_on
0.000000,0.000000,0.000000,9.100000,6.000000,148.864746,11.983624,138.000000,0.937154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.000000,0.000000,0.000000,564.997498,294.999359,21093476.000000,10329888.000000,58.680298,0.000000,888.011292,0.985090,29.966997,0.000000,144.280973,144.280973,0.000000,0.000000,0.000000,0.000000,0.000000,564.998763,295.000000,0.000000,58.679708,-2.309040,0.000000,0.124080,0.000000,1.224960,0.960000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,53339.851562,124459.656250,0.000000
0.016667,0.000000,0.000000,9.100000,6.300000,148.823421,12.463075,138.000000,0.937154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.000000,0.000000,0.000000,564.995056,294.998718,21102134.000000,10321231.000000,58.680302,0.000000,887.025024,0.985087,29.933992,0.000000,144.282324,144.282324,0.000000,0.000000,0.000000,0.000000,0.000000,564.996289,295.000000,0.000000,58.679708,-2.309042,0.000000,0.124082,0.000000,1.224960,0.960000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,53280.679688,124518.632812,0.000000
0.033333,0.000000,0.000000,9.100000,5.800000,148.780485,12.941385,138.000000,0.937154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.000000,0.000000,0.000000,564.992554,294.998077,21110790.000000,10312574.000000,58.680310,0.000000,886.038757,0.985083,29.900988,0.000000,144.283659,144.283659,0.000000,0.000000,0.000000,0.000000,0.000000,564.993815,295.000000,0.000000,58.679708,-2.309043,0.000000,0.124083,0.000000,1.224960,0.960000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,53221.503906,124577.601562,0.000000
0.050000,0.000000,0.000000,9.100000,5.900000,148.735954,13.418519,138.000000,0.937154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.000000,0.000000,0.000000,564.990051,294.997437,21119448.000000,10303917.000000,58.680318,0.000000,885.052551,0.985079,29.867983,0.000000,144.285010,144.285010,0.000000,0.000000,0.000000,0.000000,0.000000,564.991341,295.000000,0.000000,58.679708,-2.309044,0.000000,0.124084,0.000000,1.224960,0.960000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,53162.328125,124636.578125,0.000000
0.066667,0.000000,0.000000,9.100000,5.800000,148.689844,13.894438,138.000000,0.937154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.000000,0.000000,0.000000,564.987610,294.996796,21128104.000000,10295260.000000,58.680322,0.000000,884.066284,0.985076,29.834978,0.000000,144.286344,144.286344,0.000000,0.000000,0.000000,0.000000,0.000000,564.988867,295.000000,0.000000,58.679708,-2.309045,0.000000,0.124085,0.000000,1.224960,0.960000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,53103.152344,124695.546875,0.000000
0.083333,0.000000,0.000000,9.200000,6.200000,148.642155,14.369105,138.000000,0.937154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.000000,0.000000,0.000000,564.985107,294.996185,21136762.000000,10286603.000000,58.680330,0.000000,883.080017,0.984838,29.801973,0.000000,144.287695,144.287695,0.000000,0.000000,0.000000,0.000000,0.000000,564.986328,295.000000,0.000000,58.679708,-2.309046,0.000000,0.124086,0.000000,1.224960,0.960000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,53043.976562,124754.523438,0.000000
0.100000,0.000000,0.000000,9.200000,6.100000,148.592871,14.842486,138.000000,0.937154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.000000,0.000000,0.000000,564.982605,294.995544,21145420.000000,10277945.000000,58.680339,0.000000,882.093811,0.984834,29.768967,0.000000,144.289046,144.289046,0.000000,0.000000,0.000000,0.000000,0.000000,564.983854,295.000000,0.000000,58.679708,-2.309047,0.000000,0.124087,0.000000,1.224960,0.960000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,52984.800781,124813.500000,0.000000
0.116667,0.000000,0.000000,9.200000,6.000000,148.542041,15.314543,138.000000,0.937154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.000000,0.000000,0.000000,564.980103,294.994904,21154076.000000,10269288.000000,58.680343,0.000000,881.107544,0.984831,29.735962,0.000000,144.290381,144.290381,0.000000,0.000000,0.000000,0.000000,0.000000,564.981380,295.000000,0.000000,58.679708,-2.309048,0.000000,0.124088,0.000000,1.224960,0.960000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,52925.628906,124872.476562,0.000000
0.133333,0.000000,0.000000,9.200000,6.200000,148.489648,15.785243,138.000000,0.937154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.000000,0.000000,0.000000,564.977600,294.994263,21162734.000000,10260630.000000,58.680351,0.000000,880.121338,0.984827,29.702955,0.000000,144.291732,144.291732,0.000000,0.000000,0.000000,0.000000,0.000000,564.978906,295.000000,0.000000,58.679708,-2.309050,0.000000,0.124090,0.000000,1.224960,0.960000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,52866.453125,124931.445312,0.000000
0.150000,0.000000,0.000000,9.200000,6.500000,148.435693,16.254552,138.000000,0.937154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.000000,0.000000,0.000000,564.975159,294.993622,21171392.000000,10251973.000000,58.680359,0.000000,879.135071,0.984823,29.669949,0.000000,144.293083,144.293083,0.000000,0.000000,0.000000,0.000000,0.000000,564.976367,295.000000,0.000000,58.679708,-2.309051,0.000000,0.124091,0.000000,1.224960,0.960000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,52807.277344,124990.421875,0.000000
